,importance
day_of_year,589.7042925851769
rolling_precip_72h,573.0656060269861
rolling_precip_24h,334.1618840974145
surface_pressure,297.35313897607057
dewpoint_2m,238.72817372068747
cloud_cover,199.01510397008792
relative_humidity,170.67770130358858
temperature_2m,166.6787666175455
temp_dewpoint_spread,164.3420218775628
wind_v_10m,155.00597143841728
wind_speed_10m,137.33752374567044
wind_direction_10m,135.67061428039054
wind_gust_ratio,128.6698234748974
wind_u_10m,120.3388627391629
rolling_precip_6h,119.6951303639424
wind_gusts_10m,119.67091141806283
hour_sin,88.67013170440795
month_sin,86.69892533352908
rolling_ratio_3_24,80.67391124882529
hour,73.33621794286422
hour_cos,68.33642776707151
month_cos,59.69837839733605
rolling_precip_3h,43.006290025823226
precipitation_openmeteo,32.6685003966078
cape,31.006929931001704
precip_lag_6h,27.67067432232722
precip_acceleration,27.001722944460607
rain_openmeteo,22.001474734137872
humidity_cape_interact,20.342256445928026
month,16.684018661680373
precip_lag_3h,16.669284982125014
precip_lag_1h,14.001677890235321
is_monsoon,11.0749332992485
season,1.0080217760043837
snowfall,0.001362218773747279
