raw_State,raw_District,raw_Date,raw_Year,raw_Month,raw_Avg_rainfall,raw_Agency_name
Himachal Pradesh,Mandi,2018-09-18,2018,09,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-28,2018,09,0.924029962,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-30,2018,09,0.302963699,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-02,2018,10,0.071566752,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-08,2018,10,0.010871489,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-11,2018,10,24.86089837,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-13,2018,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-27,2018,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-23,2018,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-08,2018,11,0.027002302,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-06,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-13,2018,11,0.541177795,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-14,2018,11,33.29140188,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-26,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-05,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-06,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-07,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-08,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-16,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-22,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-28,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-30,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-31,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-07-25,2018,07,10.49748446,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-01,2018,08,0.237961116,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-04,2018,08,18.90612516,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-13,2018,08,66.20338014,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-18,2018,08,10.95535856,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-27,2018,08,0.313722013,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-02,2018,09,10.12111658,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-07,2018,09,33.4606456,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-12,2018,09,5.579144291,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-20,2018,09,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-23,2018,09,20.69409564,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-26,2018,09,0.31241051,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-18,2018,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-19,2018,10,0.0,NRSC VIC MODEL
