date,latitude,longitude,rainfall_mm
2017-01-01,31.5,76.5,0.0
2017-01-01,31.5,76.75,0.0
2017-01-01,31.5,77.0,0.0
2017-01-01,31.5,77.25,0.0
2017-01-01,31.5,77.5,0.0
2017-01-01,31.75,76.5,0.0
2017-01-01,31.75,76.75,0.0
2017-01-01,31.75,77.0,0.0
2017-01-01,31.75,77.25,0.0
2017-01-01,31.75,77.5,0.0
2017-01-01,32.0,76.5,0.0
2017-01-01,32.0,76.75,0.0
2017-01-01,32.0,77.0,0.0
2017-01-01,32.0,77.25,0.0
2017-01-01,32.0,77.5,0.0
2017-01-02,31.5,76.5,0.0
2017-01-02,31.5,76.75,0.0
2017-01-02,31.5,77.0,0.0
2017-01-02,31.5,77.25,1.1145813465118408
2017-01-02,31.5,77.5,1.1008830070495605
2017-01-02,31.75,76.5,0.0
2017-01-02,31.75,76.75,0.0
2017-01-02,31.75,77.0,0.0
2017-01-02,31.75,77.25,0.0
2017-01-02,31.75,77.5,2.2971811294555664
2017-01-02,32.0,76.5,0.0
2017-01-02,32.0,76.75,0.0
2017-01-02,32.0,77.0,0.0
2017-01-02,32.0,77.25,0.0
2017-01-02,32.0,77.5,1.5609004497528076
2017-01-03,31.5,76.5,0.0
2017-01-03,31.5,76.75,0.0
2017-01-03,31.5,77.0,0.0
2017-01-03,31.5,77.25,0.0
2017-01-03,31.5,77.5,0.0
2017-01-03,31.75,76.5,0.0
2017-01-03,31.75,76.75,0.0
2017-01-03,31.75,77.0,0.0
2017-01-03,31.75,77.25,0.0
2017-01-03,31.75,77.5,0.0
2017-01-03,32.0,76.5,0.0
2017-01-03,32.0,76.75,0.0
2017-01-03,32.0,77.0,0.0
2017-01-03,32.0,77.25,0.0
2017-01-03,32.0,77.5,0.0
2017-01-04,31.5,76.5,0.0
2017-01-04,31.5,76.75,0.0
2017-01-04,31.5,77.0,0.0
2017-01-04,31.5,77.25,0.0
2017-01-04,31.5,77.5,0.0
2017-01-04,31.75,76.5,0.0
2017-01-04,31.75,76.75,0.0
2017-01-04,31.75,77.0,0.0
2017-01-04,31.75,77.25,0.0
2017-01-04,31.75,77.5,0.0
2017-01-04,32.0,76.5,0.0
2017-01-04,32.0,76.75,0.0
2017-01-04,32.0,77.0,0.6586351990699768
2017-01-04,32.0,77.25,1.0182315111160278
2017-01-04,32.0,77.5,0.0
2017-01-05,31.5,76.5,0.0
2017-01-05,31.5,76.75,0.0
2017-01-05,31.5,77.0,0.0
2017-01-05,31.5,77.25,0.0
2017-01-05,31.5,77.5,0.45558810234069824
2017-01-05,31.75,76.5,0.0
2017-01-05,31.75,76.75,0.0
