date,latitude,longitude,rainfall_mm
2014-01-01,31.5,76.5,0.8714739680290222
2014-01-01,31.5,76.75,1.970583438873291
2014-01-01,31.5,77.0,5.207485198974609
2014-01-01,31.5,77.25,4.11329460144043
2014-01-01,31.5,77.5,3.4198877811431885
2014-01-01,31.75,76.5,3.62394380569458
2014-01-01,31.75,76.75,6.241086959838867
2014-01-01,31.75,77.0,5.145051956176758
2014-01-01,31.75,77.25,3.533904790878296
2014-01-01,31.75,77.5,2.865370273590088
2014-01-01,32.0,76.5,8.323785781860352
2014-01-01,32.0,76.75,7.292747497558594
2014-01-01,32.0,77.0,4.63651180267334
2014-01-01,32.0,77.25,2.402635097503662
2014-01-01,32.0,77.5,4.597578048706055
2014-01-02,31.5,76.5,0.0
2014-01-02,31.5,76.75,0.0
2014-01-02,31.5,77.0,0.0
2014-01-02,31.5,77.25,0.0
2014-01-02,31.5,77.5,0.0
2014-01-02,31.75,76.5,0.0
2014-01-02,31.75,76.75,0.0
2014-01-02,31.75,77.0,0.0
2014-01-02,31.75,77.25,0.0
2014-01-02,31.75,77.5,0.0
2014-01-02,32.0,76.5,0.0
2014-01-02,32.0,76.75,0.0
2014-01-02,32.0,77.0,0.0
2014-01-02,32.0,77.25,0.0
2014-01-02,32.0,77.5,0.0
2014-01-03,31.5,76.5,0.0
2014-01-03,31.5,76.75,0.0
2014-01-03,31.5,77.0,0.0
2014-01-03,31.5,77.25,0.0
2014-01-03,31.5,77.5,0.0
2014-01-03,31.75,76.5,0.0
2014-01-03,31.75,76.75,0.0
2014-01-03,31.75,77.0,0.0
2014-01-03,31.75,77.25,0.0
2014-01-03,31.75,77.5,0.0
2014-01-03,32.0,76.5,0.0
2014-01-03,32.0,76.75,0.0
2014-01-03,32.0,77.0,0.0
2014-01-03,32.0,77.25,0.0
2014-01-03,32.0,77.5,0.0
2014-01-04,31.5,76.5,0.0
2014-01-04,31.5,76.75,0.0
2014-01-04,31.5,77.0,0.0
2014-01-04,31.5,77.25,0.0
2014-01-04,31.5,77.5,0.0
2014-01-04,31.75,76.5,0.0
2014-01-04,31.75,76.75,0.0
2014-01-04,31.75,77.0,0.0
2014-01-04,31.75,77.25,0.0
2014-01-04,31.75,77.5,0.0
2014-01-04,32.0,76.5,0.0
2014-01-04,32.0,76.75,0.0
2014-01-04,32.0,77.0,0.0
2014-01-04,32.0,77.25,0.0
2014-01-04,32.0,77.5,0.0
2014-01-05,31.5,76.5,0.43168124556541443
2014-01-05,31.5,76.75,1.053954839706421
2014-01-05,31.5,77.0,0.13830703496932983
2014-01-05,31.5,77.25,0.1986819952726364
2014-01-05,31.5,77.5,1.484424114227295
2014-01-05,31.75,76.5,0.6885133981704712
2014-01-05,31.75,76.75,0.29513970017433167
2014-01-05,31.75,77.0,0.945093035697937
2014-01-05,31.75,77.25,0.49861711263656616
2014-01-05,31.75,77.5,1.0702913999557495
2014-01-05,32.0,76.5,2.108616352081299
2014-01-05,32.0,76.75,1.8391609191894531
2014-01-05,32.0,77.0,2.8825864791870117
2014-01-05,32.0,77.25,1.0309852361679077
2014-01-05,32.0,77.5,2.81404185295105
2014-01-06,31.5,76.5,0.0
2014-01-06,31.5,76.75,0.0
2014-01-06,31.5,77.0,0.0
2014-01-06,31.5,77.25,0.23209665715694427
2014-01-06,31.5,77.5,1.614328145980835
2014-01-06,31.75,76.5,2.237287759780884
