date,latitude,longitude,rainfall_mm
2015-01-01,31.5,76.5,0.0
2015-01-01,31.5,76.75,0.0
2015-01-01,31.5,77.0,0.0
2015-01-01,31.5,77.25,0.0
2015-01-01,31.5,77.5,0.0
2015-01-01,31.75,76.5,0.0
2015-01-01,31.75,76.75,0.0
2015-01-01,31.75,77.0,0.0
2015-01-01,31.75,77.25,0.0
2015-01-01,31.75,77.5,0.0
2015-01-01,32.0,76.5,0.0
2015-01-01,32.0,76.75,0.0
2015-01-01,32.0,77.0,0.0
2015-01-01,32.0,77.25,0.0
2015-01-01,32.0,77.5,0.0
2015-01-02,31.5,76.5,0.0
2015-01-02,31.5,76.75,0.0
2015-01-02,31.5,77.0,0.0
2015-01-02,31.5,77.25,0.0
2015-01-02,31.5,77.5,0.0
2015-01-02,31.75,76.5,0.0
2015-01-02,31.75,76.75,0.0
2015-01-02,31.75,77.0,0.0
2015-01-02,31.75,77.25,0.0
2015-01-02,31.75,77.5,0.0
2015-01-02,32.0,76.5,0.0
2015-01-02,32.0,76.75,0.0
2015-01-02,32.0,77.0,0.0
2015-01-02,32.0,77.25,0.0
2015-01-02,32.0,77.5,0.0
2015-01-03,31.5,76.5,6.719651699066162
2015-01-03,31.5,76.75,5.9910125732421875
2015-01-03,31.5,77.0,2.7388932704925537
2015-01-03,31.5,77.25,3.914080858230591
2015-01-03,31.5,77.5,7.174839019775391
2015-01-03,31.75,76.5,5.734287261962891
2015-01-03,31.75,76.75,5.430786609649658
2015-01-03,31.75,77.0,6.672853469848633
2015-01-03,31.75,77.25,4.656658172607422
2015-01-03,31.75,77.5,5.192941188812256
2015-01-03,32.0,76.5,7.694425106048584
2015-01-03,32.0,76.75,9.203805923461914
2015-01-03,32.0,77.0,12.302363395690918
2015-01-03,32.0,77.25,12.364984512329102
2015-01-03,32.0,77.5,9.74967098236084
2015-01-04,31.5,76.5,20.32147789001465
2015-01-04,31.5,76.75,27.67110252380371
2015-01-04,31.5,77.0,19.559865951538086
2015-01-04,31.5,77.25,15.004179954528809
2015-01-04,31.5,77.5,12.001014709472656
2015-01-04,31.75,76.5,14.03583812713623
2015-01-04,31.75,76.75,9.244298934936523
2015-01-04,31.75,77.0,11.562858581542969
2015-01-04,31.75,77.25,15.011213302612305
2015-01-04,31.75,77.5,13.662798881530762
2015-01-04,32.0,76.5,11.722437858581543
2015-01-04,32.0,76.75,13.916045188903809
2015-01-04,32.0,77.0,14.80566120147705
2015-01-04,32.0,77.25,16.743791580200195
2015-01-04,32.0,77.5,16.32415771484375
2015-01-05,31.5,76.5,0.0
2015-01-05,31.5,76.75,0.0
2015-01-05,31.5,77.0,0.0
2015-01-05,31.5,77.25,0.0
2015-01-05,31.5,77.5,0.0
2015-01-05,31.75,76.5,0.0
2015-01-05,31.75,76.75,0.0
2015-01-05,31.75,77.0,0.0
2015-01-05,31.75,77.25,0.0
2015-01-05,31.75,77.5,0.0
2015-01-05,32.0,76.5,0.0
2015-01-05,32.0,76.75,0.0
2015-01-05,32.0,77.0,0.0
2015-01-05,32.0,77.25,0.0
2015-01-05,32.0,77.5,0.0
2015-01-06,31.5,76.5,0.0
2015-01-06,31.5,76.75,0.0
2015-01-06,31.5,77.0,0.0
2015-01-06,31.5,77.25,0.0
2015-01-06,31.5,77.5,0.0
2015-01-06,31.75,76.5,0.0
2015-01-06,31.75,76.75,0.0
2015-01-06,31.75,77.0,0.0
2015-01-06,31.75,77.25,0.0
2015-01-06,31.75,77.5,0.0
2015-01-06,32.0,76.5,0.0
2015-01-06,32.0,76.75,0.0
2015-01-06,32.0,77.0,0.0
