date,latitude,longitude,rainfall_mm
2016-01-01,31.5,76.5,0.0
2016-01-01,31.5,76.75,0.0
2016-01-01,31.5,77.0,0.0
2016-01-01,31.5,77.25,0.0
2016-01-01,31.5,77.5,0.0
2016-01-01,31.75,76.5,0.0
2016-01-01,31.75,76.75,0.0
2016-01-01,31.75,77.0,0.0
2016-01-01,31.75,77.25,0.0
2016-01-01,31.75,77.5,0.0
2016-01-01,32.0,76.5,0.0
2016-01-01,32.0,76.75,0.0
2016-01-01,32.0,77.0,0.0
2016-01-01,32.0,77.25,0.0
2016-01-01,32.0,77.5,0.0
2016-01-02,31.5,76.5,0.0
2016-01-02,31.5,76.75,0.0
2016-01-02,31.5,77.0,0.0
2016-01-02,31.5,77.25,0.0
2016-01-02,31.5,77.5,0.0
2016-01-02,31.75,76.5,0.0
2016-01-02,31.75,76.75,0.0
2016-01-02,31.75,77.0,0.0
2016-01-02,31.75,77.25,0.0
2016-01-02,31.75,77.5,0.0
2016-01-02,32.0,76.5,0.0
2016-01-02,32.0,76.75,0.0
2016-01-02,32.0,77.0,0.0
2016-01-02,32.0,77.25,0.0
2016-01-02,32.0,77.5,0.0
2016-01-03,31.5,76.5,0.0
2016-01-03,31.5,76.75,0.0
2016-01-03,31.5,77.0,0.0
2016-01-03,31.5,77.25,0.0
2016-01-03,31.5,77.5,0.0
2016-01-03,31.75,76.5,0.0
2016-01-03,31.75,76.75,0.0
2016-01-03,31.75,77.0,0.0
2016-01-03,31.75,77.25,0.0
2016-01-03,31.75,77.5,0.0
2016-01-03,32.0,76.5,0.0
2016-01-03,32.0,76.75,0.0
2016-01-03,32.0,77.0,0.0
2016-01-03,32.0,77.25,0.0
2016-01-03,32.0,77.5,0.0
2016-01-04,31.5,76.5,0.0
2016-01-04,31.5,76.75,0.0
2016-01-04,31.5,77.0,0.0
2016-01-04,31.5,77.25,0.0
2016-01-04,31.5,77.5,0.0
2016-01-04,31.75,76.5,0.0
2016-01-04,31.75,76.75,0.0
2016-01-04,31.75,77.0,0.0
2016-01-04,31.75,77.25,0.0
2016-01-04,31.75,77.5,0.0
2016-01-04,32.0,76.5,0.0
2016-01-04,32.0,76.75,0.0
2016-01-04,32.0,77.0,0.0
2016-01-04,32.0,77.25,0.0
2016-01-04,32.0,77.5,0.0
2016-01-05,31.5,76.5,0.0
2016-01-05,31.5,76.75,0.0
2016-01-05,31.5,77.0,0.0
2016-01-05,31.5,77.25,0.2346487045288086
2016-01-05,31.5,77.5,1.1789084672927856
2016-01-05,31.75,76.5,0.39451220631599426
2016-01-05,31.75,76.75,0.0
2016-01-05,31.75,77.0,1.6617268323898315
2016-01-05,31.75,77.25,0.602314829826355
2016-01-05,31.75,77.5,2.231419086456299
2016-01-05,32.0,76.5,1.4487377405166626
2016-01-05,32.0,76.75,0.4019603729248047
2016-01-05,32.0,77.0,3.407119035720825
2016-01-05,32.0,77.25,4.134474277496338
2016-01-05,32.0,77.5,2.6068243980407715
2016-01-06,31.5,76.5,0.0
2016-01-06,31.5,76.75,0.0
2016-01-06,31.5,77.0,0.0
2016-01-06,31.5,77.25,0.0
2016-01-06,31.5,77.5,0.0
2016-01-06,31.75,76.5,0.0
2016-01-06,31.75,76.75,0.0
2016-01-06,31.75,77.0,0.0
2016-01-06,31.75,77.25,0.0
2016-01-06,31.75,77.5,0.0
2016-01-06,32.0,76.5,0.0
2016-01-06,32.0,76.75,0.0
2016-01-06,32.0,77.0,0.0
2016-01-06,32.0,77.25,0.0
2016-01-06,32.0,77.5,0.0
2016-01-07,31.5,76.5,0.0
2016-01-07,31.5,76.75,0.0
2016-01-07,31.5,77.0,0.0
2016-01-07,31.5,77.25,0.0
2016-01-07,31.5,77.5,0.0
2016-01-07,31.75,76.5,0.0
2016-01-07,31.75,76.75,0.0
2016-01-07,31.75,77.0,0.0
2016-01-07,31.75,77.25,0.0
2016-01-07,31.75,77.5,0.0
2016-01-07,32.0,76.5,0.0
2016-01-07,32.0,76.75,0.0
2016-01-07,32.0,77.0,0.0
2016-01-07,32.0,77.25,0.0
2016-01-07,32.0,77.5,0.0
2016-01-08,31.5,76.5,0.0
2016-01-08,31.5,76.75,0.0
2016-01-08,31.5,77.0,0.0
2016-01-08,31.5,77.25,0.0
2016-01-08,31.5,77.5,0.0
2016-01-08,31.75,76.5,0.0
2016-01-08,31.75,76.75,0.0
2016-01-08,31.75,77.0,0.4067613184452057
2016-01-08,31.75,77.25,0.12475787848234177
2016-01-08,31.75,77.5,0.0
2016-01-08,32.0,76.5,0.4219512939453125
2016-01-08,32.0,76.75,0.7432084083557129
2016-01-08,32.0,77.0,2.92647123336792
2016-01-08,32.0,77.25,4.265308380126953
2016-01-08,32.0,77.5,0.1544705182313919
2016-01-09,31.5,76.5,0.0
2016-01-09,31.5,76.75,1.6672852039337158
2016-01-09,31.5,77.0,0.8025396466255188
2016-01-09,31.5,77.25,0.5249547958374023
2016-01-09,31.5,77.5,6.875059604644775
2016-01-09,31.75,76.5,0.0
2016-01-09,31.75,76.75,0.41347840428352356
2016-01-09,31.75,77.0,4.739398956298828
2016-01-09,31.75,77.25,1.5627965927124023
2016-01-09,31.75,77.5,5.509109973907471
2016-01-09,32.0,76.5,1.7559295892715454
2016-01-09,32.0,76.75,2.9929635524749756
2016-01-09,32.0,77.0,6.521925926208496
2016-01-09,32.0,77.25,6.964264392852783
2016-01-09,32.0,77.5,5.233234405517578
2016-01-10,31.5,76.5,0.0
2016-01-10,31.5,76.75,0.0
2016-01-10,31.5,77.0,0.0
2016-01-10,31.5,77.25,0.0
2016-01-10,31.5,77.5,0.0
2016-01-10,31.75,76.5,0.0
2016-01-10,31.75,76.75,0.0
2016-01-10,31.75,77.0,0.0
2016-01-10,31.75,77.25,0.0
2016-01-10,31.75,77.5,0.0
2016-01-10,32.0,76.5,0.0
2016-01-10,32.0,76.75,0.0
2016-01-10,32.0,77.0,0.0
2016-01-10,32.0,77.25,0.0
2016-01-10,32.0,77.5,0.0
2016-01-11,31.5,76.5,0.0
2016-01-11,31.5,76.75,0.0
2016-01-11,31.5,77.0,0.0
2016-01-11,31.5,77.25,0.0
2016-01-11,31.5,77.5,0.0
2016-01-11,31.75,76.5,0.0
2016-01-11,31.75,76.75,0.0
2016-01-11,31.75,77.0,0.0
2016-01-11,31.75,77.25,0.0
2016-01-11,31.75,77.5,0.0
2016-01-11,32.0,76.5,0.0
2016-01-11,32.0,76.75,0.0
2016-01-11,32.0,77.0,0.0
2016-01-11,32.0,77.25,0.0
2016-01-11,32.0,77.5,0.0
2016-01-12,31.5,76.5,0.0
2016-01-12,31.5,76.75,0.0
2016-01-12,31.5,77.0,0.0
2016-01-12,31.5,77.25,0.0
2016-01-12,31.5,77.5,0.0
2016-01-12,31.75,76.5,0.0
2016-01-12,31.75,76.75,0.0
2016-01-12,31.75,77.0,0.0
2016-01-12,31.75,77.25,0.0
2016-01-12,31.75,77.5,0.0
2016-01-12,32.0,76.5,0.0
2016-01-12,32.0,76.75,0.0
2016-01-12,32.0,77.0,0.0
2016-01-12,32.0,77.25,0.0
2016-01-12,32.0,77.5,0.0
2016-01-13,31.5,76.5,0.0
2016-01-13,31.5,76.75,0.0
2016-01-13,31.5,77.0,0.0
2016-01-13,31.5,77.25,0.0
2016-01-13,31.5,77.5,0.0
2016-01-13,31.75,76.5,0.0
2016-01-13,31.75,76.75,0.0
2016-01-13,31.75,77.0,0.0
2016-01-13,31.75,77.25,0.0
2016-01-13,31.75,77.5,0.0
2016-01-13,32.0,76.5,0.0
2016-01-13,32.0,76.75,0.0
2016-01-13,32.0,77.0,0.0
2016-01-13,32.0,77.25,0.0
