date,latitude,longitude,rainfall_mm
2023-01-01,31.5,76.5,0.0
2023-01-01,31.5,76.75,0.0
2023-01-01,31.5,77.0,0.0
2023-01-01,31.5,77.25,0.0
2023-01-01,31.5,77.5,0.0
2023-01-01,31.75,76.5,0.0
2023-01-01,31.75,76.75,0.0
2023-01-01,31.75,77.0,0.0
2023-01-01,31.75,77.25,0.0
2023-01-01,31.75,77.5,0.0
2023-01-01,32.0,76.5,0.0
2023-01-01,32.0,76.75,0.0
2023-01-01,32.0,77.0,0.0
2023-01-01,32.0,77.25,0.0
2023-01-01,32.0,77.5,0.0
2023-01-02,31.5,76.5,0.0
2023-01-02,31.5,76.75,0.0
2023-01-02,31.5,77.0,0.0
2023-01-02,31.5,77.25,0.0
2023-01-02,31.5,77.5,0.0
2023-01-02,31.75,76.5,0.0
2023-01-02,31.75,76.75,0.0
2023-01-02,31.75,77.0,0.0
2023-01-02,31.75,77.25,0.0
2023-01-02,31.75,77.5,0.0
2023-01-02,32.0,76.5,0.0
2023-01-02,32.0,76.75,0.0
2023-01-02,32.0,77.0,0.0
2023-01-02,32.0,77.25,0.0
2023-01-02,32.0,77.5,0.0
2023-01-03,31.5,76.5,0.0
2023-01-03,31.5,76.75,0.0
2023-01-03,31.5,77.0,0.0
2023-01-03,31.5,77.25,0.0
2023-01-03,31.5,77.5,0.0
2023-01-03,31.75,76.5,0.0
2023-01-03,31.75,76.75,0.0
2023-01-03,31.75,77.0,0.0
2023-01-03,31.75,77.25,0.0
2023-01-03,31.75,77.5,0.0
2023-01-03,32.0,76.5,0.0
2023-01-03,32.0,76.75,0.0
2023-01-03,32.0,77.0,0.0
2023-01-03,32.0,77.25,0.0
2023-01-03,32.0,77.5,0.0
2023-01-04,31.5,76.5,0.0
2023-01-04,31.5,76.75,0.0
2023-01-04,31.5,77.0,0.0
2023-01-04,31.5,77.25,0.0
2023-01-04,31.5,77.5,0.0
2023-01-04,31.75,76.5,0.0
2023-01-04,31.75,76.75,0.0
2023-01-04,31.75,77.0,0.0
2023-01-04,31.75,77.25,0.0
2023-01-04,31.75,77.5,0.0
2023-01-04,32.0,76.5,0.0
2023-01-04,32.0,76.75,0.0
2023-01-04,32.0,77.0,0.0
2023-01-04,32.0,77.25,0.0
2023-01-04,32.0,77.5,0.0
2023-01-05,31.5,76.5,0.0
2023-01-05,31.5,76.75,0.0
2023-01-05,31.5,77.0,0.0
2023-01-05,31.5,77.25,0.0
2023-01-05,31.5,77.5,0.0
2023-01-05,31.75,76.5,0.0
2023-01-05,31.75,76.75,0.0
2023-01-05,31.75,77.0,0.0
2023-01-05,31.75,77.25,0.0
2023-01-05,31.75,77.5,0.0
2023-01-05,32.0,76.5,0.0
2023-01-05,32.0,76.75,0.0
2023-01-05,32.0,77.0,0.0
2023-01-05,32.0,77.25,0.0
2023-01-05,32.0,77.5,0.0
2023-01-06,31.5,76.5,0.0
2023-01-06,31.5,76.75,0.0
2023-01-06,31.5,77.0,0.0
2023-01-06,31.5,77.25,0.0
2023-01-06,31.5,77.5,0.0
2023-01-06,31.75,76.5,0.0
2023-01-06,31.75,76.75,0.0
2023-01-06,31.75,77.0,0.0
2023-01-06,31.75,77.25,0.0
