temperature_2m,dewpoint_2m,relative_humidity,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,wind_u_10m,wind_v_10m,cloud_cover,cape,precipitation_openmeteo,rain_openmeteo,snowfall,rolling_precip_3h,rolling_precip_6h,rolling_precip_24h,rolling_precip_72h,precip_lag_1h,precip_lag_3h,precip_lag_6h,temp_dewpoint_spread,wind_gust_ratio,precip_acceleration,humidity_cape_interact,rolling_ratio_3_24,hour_sin,hour_cos,month_sin,month_cos,hour,month,day_of_year,season,is_monsoon
-2.0919599172598677,-1.8000180391839882,0.3684882639692796,1.8974655818519646,-0.5240946203593488,74.106285,0.3276275404782861,-0.5557374306871113,-0.018756507730303126,1.4183679611245517,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,-0.9575447935377186,0.7454556944618044,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,0.9659258262890684,0.2588190451025207,0.4999999999999999,0.8660254037844387,5,1,1,0,0
-2.093697524639109,-1.8035430001397084,0.258750081193723,1.922313852351181,-0.4857405331556514,70.00215,-0.004116536557924229,-0.5555410526180491,-0.11457866262353579,1.3791632076540594,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,-0.9563155414624112,0.3500485200169948,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,1.0,6.123233995736766e-17,0.4999999999999999,0.8660254037844387,6,1,1,0,0
-2.072431170384671,-1.778797057920324,-0.015938286009648642,2.0230862423033145,-0.3358468092451865,70.97624,-0.004116536557924229,-0.6360211610531705,-0.13122033004254188,1.37497407510937,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,-0.95301211817919,0.1407801988318174,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387,7,1,1,0,0
-2.0001169748783143,-1.724243303289972,0.07824567596033923,2.0842317930502703,-0.16695863415983803,74.4513,0.39397684802587923,-0.7401937460170797,-0.08452754045184584,1.0114608682744164,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,-0.9122631454058324,0.276408996909488,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,0.8660254037844387,-0.4999999999999998,0.4999999999999999,0.8660254037844387,8,1,1,0,0
-1.6812173214245012,-1.710604823083067,-0.37970562711645894,2.112716763486062,-0.7367173107807854,83.23636,0.1949299799695664,-0.470867583495406,0.19693864579858655,-0.8727371600546496,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,-0.5062106919212965,1.0182462401455312,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,0.7071067811865476,-0.7071067811865475,0.4999999999999999,0.8660254037844387,9,1,1,0,0
-0.8555110564123883,-1.3827090809236093,-1.1037416806761216,2.1700126883416093,-1.6651827523501936,184.11505,-0.5349071301216252,0.307896738794694,0.7136754855110649,-1.000942927513022,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,0.2533280113265245,2.2900982664416403,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,0.4999999999999999,-0.8660254037844387,0.4999999999999999,0.8660254037844387,10,1,1,0,0
-0.6943909901782438,-1.3017001116513636,-1.426179167645545,2.130698643016968,-0.8139907105061355,233.30573,-0.6012560861403962,0.8686357045084336,0.9465427166115113,-1.000942927513022,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,0.38455411419431346,0.2321589710977896,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,0.258819045102521,-0.9659258262890682,0.4999999999999999,0.8660254037844387,11,1,1,0,0
-0.6050505853665737,-1.2340353869427494,-1.4199490563289967,1.9918878791687327,-0.5020917348012831,227.33104,-0.5349071301216252,0.9424737070664074,1.1911784202559716,-1.000942927513022,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,0.43463161084833934,-0.15648692169213377,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,1.2246467991473532e-16,-1.0,0.4999999999999999,0.8660254037844387,12,1,1,0,0
-0.2991713477818055,-1.1938960210847036,-1.3135998580571884,1.7509367232160642,0.21055868022217764,231.2209,-0.6012560861403962,1.2773899932454376,1.466213377975312,-0.5862897468156919,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,0.7971174346145721,-0.841150095800263,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,-0.2588190451025208,-0.9659258262890684,0.4999999999999999,0.8660254037844387,13,1,1,0,0
-0.2609749736518639,-1.147026230943226,-1.1164306311722383,1.7300586738392878,0.6232632488501078,245.19177,-0.6676048663947559,1.6392330891238602,1.2220749094075054,0.26008967368581165,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,0.8006332066144638,-1.1031233554421525,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,-0.4999999999999997,-0.8660254037844388,0.4999999999999999,0.8660254037844387,14,1,1,0,0
-0.46355147483766784,-1.1362890564438584,0.26804877647574127,1.6425272633971415,0.37933115176651033,253.84366,-0.7339538224135272,1.5931536641314272,0.8685059219551621,0.4520821715012501,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,0.5233434119628262,-1.0291145942408346,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,-0.7071067811865471,-0.7071067811865479,0.4999999999999999,0.8660254037844387,15,1,1,0,0
-0.5348699661415831,-1.104508233165787,-0.6450635312790591,1.6004677922654764,-0.5472094269087486,258.8057,-1.1320466797040971,1.137465168297988,0.5672487607206602,0.2856201754397749,-0.1816460878647987,-0.19807513125343568,-0.19807142307621395,-0.02969624345712769,-0.2480788643037877,-0.28745731901851257,-0.39478989013885324,-0.5629412164437162,-0.19807513125343568,-0.19807513125343568,-0.19807513125343568,0.3977931863970831,-0.7120231623135161,6.744611840697695e-20,-0.17700969389840043,-0.35055984059429374,-0.8660254037844385,-0.5000000000000004,0.4999999999999999,0.8660254037844387,16,1,1,0,0
