imd_rainfall_mm,imd_rainfall_mm_log1p,rain_intensity_class,cloudburst_flag,landslide_risk,block_id
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,0,191
4.0107502937316895,1.611585663111862,1,0,1,191
4.0107502937316895,1.611585663111862,1,0,1,191
4.0107502937316895,1.611585663111862,1,0,1,191
4.0107502937316895,1.611585663111862,1,0,1,191
4.0107502937316895,1.611585663111862,1,0,1,191
4.0107502937316895,1.611585663111862,1,0,1,191
4.0107502937316895,1.611585663111862,1,0,1,191
4.0107502937316895,1.611585663111862,1,0,1,191
4.0107502937316895,1.611585663111862,1,0,1,191
4.0107502937316895,1.611585663111862,1,0,1,191
4.0107502937316895,1.611585663111862,1,0,1,191
4.0107502937316895,1.611585663111862,1,0,1,191
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,276
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,324
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,330
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,350
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,502
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
0.0,0.0,0,0,0,633
