temperature_2m,dewpoint_2m,relative_humidity,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,wind_u_10m,wind_v_10m,cloud_cover,cape,precipitation_openmeteo,rain_openmeteo,snowfall,rolling_precip_3h,rolling_precip_6h,precip_lag_1h,precip_lag_3h,precip_lag_6h,temp_dewpoint_spread,wind_gust_ratio,precip_acceleration,humidity_cape_interact,rolling_ratio_3_24,hour_sin,hour_cos,month_sin,month_cos,hour,month,day_of_year,season,is_monsoon
-1.7607178508931407,-0.8962183837548816,1.2845329374508192,0.09429497948786629,-1.1269410723595472,71.5649642944336,-0.23868018943082434,0.19075900997068318,-0.8616122165031853,1.2877213149295312,-0.6608883493994708,0.5810468906797457,0.3106984774490931,3.66122129342194,0.4282669226316273,0.24904052817207148,0.3044495048966155,0.027852139721594466,-0.24874522545342648,-1.0887628949737527,0.8235551582434875,0.3519178181554761,-0.6316807138899271,2.1853694030821713,0.9659258262890684,0.2588190451025207,0.4999999999999999,0.8660254037844387,5,1,17,0,0
-1.8555093029832674,-0.9676317763190058,1.3648240592526526,0.10439587427697984,-0.4765843801776359,66.03750610351562,0.2130268626767946,0.0529361334115228,-0.808276736351235,0.7894870446583435,-0.6608883493994708,0.9959428663138945,0.3106983944341782,9.235340518091421,0.6771385173794787,0.49244627231817745,0.5810468906797458,0.30444950489661543,-0.24874522545342648,-1.0887628949737527,0.261607867260154,0.35191784437539636,-0.6316764756240577,2.3203266146841357,1.0,6.123233995736766e-17,0.4999999999999999,0.8660254037844387,6,1,17,0,0
-1.6848847012743957,-0.9000131263685959,1.4177101309046185,0.2902290510316599,-0.0642988175404842,65.55606079101562,1.003514278653591,0.027024804888670304,-0.6831444833834578,1.182829889609281,-0.6534206706651375,0.8576442352466573,0.31069843594163565,7.377300908377549,0.8762358080116637,0.600626607527593,0.9959428663138947,0.30444950489661543,0.3044495048966155,-1.0887628949737527,0.33674179406390264,0.8797944798388895,-0.6228658194785336,2.3443707241398593,0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387,7,1,17,0,0
-1.3625938003280342,-0.8624090521655617,0.8812828201449983,0.6705262843824615,-0.4765843801776359,66.03750610351562,1.3422946425227673,0.02030872938203658,-0.9199574308416845,1.130384176949156,-0.6583280024048422,0.8576442352466573,0.4499743436551329,5.519261298663676,0.9757844459108043,0.7628971103417161,0.8576442352466574,0.5810468906797457,0.02785213972159447,-0.7428754125538222,0.9873071759896698,0.3519177919355558,-0.6290219524158747,2.1554527287608893,0.8660254037844387,-0.4999999999999998,0.4999999999999999,0.8660254037844387,8,1,17,0,0
-1.2930800446885617,-0.786252267711927,0.6148533267616055,0.7751738831345095,-0.5927145847242531,77.47119903564453,1.3987584353727593,0.07202912368449459,-0.7181709935640446,1.2614984585994686,-0.6606749871499183,1.134241579813569,0.5892502928760877,7.377300908377549,1.0255587796942784,0.9251676091258079,0.8576442352466574,0.9959428663138945,0.3044495048966155,-0.7470894376700489,1.199107817739832,-0.17595884352793734,-0.6315067902692177,1.852559464490854,0.7071067811865476,-0.7071067811865475,0.4999999999999999,0.8660254037844387,9,1,17,0,0
-1.2046080468444897,-0.6252875290773251,0.45841305201946714,0.846928078106359,-0.633228307248158,90.0,1.2858314479804693,0.09551087438531423,-0.610164545527339,1.2877213149295312,-0.6576879156561851,1.134241579813569,0.5892502928760877,7.377300908377549,1.125107417593419,1.0874381079098996,1.1342415798135692,0.8576442352466573,0.3044495048966155,-0.8317877558861383,1.1867314339399582,0.3519177919355558,-0.6287090877679454,1.7053036835538156,0.4999999999999999,-0.8660254037844387,0.4999999999999999,0.8660254037844387,10,1,17,0,0
-1.1730108961477808,-0.5512864301890342,0.43418201686451496,0.6905825279263171,-0.9891835144140282,81.86998748779297,1.2858314479804693,0.03678808229784943,-0.5576663186864504,1.4975041655700312,-0.6297374609648236,1.4108390068129177,0.5892502928760877,11.09338091886102,1.3242047230595078,1.2497086147540541,1.1342415798135692,0.8576442352466573,0.5810468906797458,-0.8824955346983041,1.924812763384926,0.3519177919355558,-0.6025640677915999,1.7018127196155581,0.258819045102521,-0.9659258262890682,0.4999999999999999,0.8660254037844387,11,1,17,0,0
-1.1730108961477808,-0.6051836092782029,0.4605160333417048,0.5164949161498148,-1.1269410723595472,71.5649642944336,1.2858314479804693,0.1514441505999538,-0.5069463538474023,1.182829889609281,-0.6047740777671955,1.687436268947392,0.5892502098611727,14.809460138288769,1.523301998857789,1.3849340317508079,1.410839006812918,1.134241579813569,0.9959428663138947,-0.8157236991105357,2.326206732119246,0.35191789681523694,-0.5788279147377191,1.6776932308961623,1.2246467991473532e-16,-1.0,0.4999999999999999,0.8660254037844387,12,1,17,0,0
-1.1666914419017265,-0.609478908109617,0.4609352500994541,0.32422860467349357,-0.6230077894203572,83.65990447998047,1.1164412660458811,0.33209535829180853,-0.4994663981576596,1.2090527459393436,-0.6602482626508136,1.5491375554477176,0.3106983944341782,16.66749974800264,1.672624940872596,1.5201594326274355,1.6874362689473923,1.134241579813569,0.8576442352466574,-0.802208274391141,1.0519353030116918,0.7038355838711116,-0.6311207423216444,1.6252333468345677,-0.2588190451025208,-0.9659258262890684,0.4999999999999999,0.8660254037844387,13,1,17,0,0
-1.1919691383523805,-0.644652731608444,0.5527870212290186,0.26646138360995,-0.36744143681755514,106.69932556152344,0.6082707202421166,0.4476308245333318,-0.6555703121853377,1.077938464289031,-0.6608883493994708,1.4108390068129177,0.17142261124305333,16.66749974800264,1.672624940872596,1.6283397758969138,1.5491375554477178,1.4108390068129177,0.8576442352466574,-0.7914085242695275,0.3974676315688936,0.17595873864825617,-0.6317193400004127,1.4239938438623176,-0.4999999999999997,-0.8660254037844388,0.4999999999999999,0.8660254037844387,14,1,17,0,0
-1.2172468348030347,-0.5471970552117673,0.5919657778522374,0.1435186483305967,-0.7723284928570028,104.03627014160156,-0.1257535011923812,0.33744532149258555,-0.6740176377788674,1.2614984585994686,-0.6611017116490232,0.9959428663138945,0.03214657900718355,12.951419737519164,1.4237533312908406,1.6012946860495127,1.410839006812918,1.687436268947392,1.1342415798135692,-0.944920066701076,0.357717194470851,-0.3519176870558747,-0.6319253372386678,1.0770076928742804,-0.7071067811865471,-0.7071067811865479,0.4999999999999999,0.8660254037844387,15,1,17,0,0
-1.2930800446885617,-0.5412264936668707,0.811990965083965,0.1660637290631311,-0.07194785997560121,85.23644256591797,-0.2951435335500459,0.20025642033068233,-0.5732559272699331,1.077938464289031,-0.6611017116490232,0.44274817718007126,0.03214657900718355,5.519261298663676,1.0255587796942784,1.4660692690527592,0.9959428663138947,1.5491375554477176,1.1342415798135692,-1.0506455973019757,-0.34266790765608374,-0.7038355838711116,-0.6319253372386678,0.6824986634651456,-0.8660254037844385,-0.5000000000000004,0.4999999999999999,0.8660254037844387,16,1,17,0,0
-1.3436354375898703,-0.36393236511164273,0.8675310543448628,0.05047106852227358,0.5287984589574571,78.69010162353516,-0.5209972091807792,0.12934079177581165,-0.6407279418653915,0.815709900988406,-0.6611017116490232,0.027852139721594466,-0.10712931832944929,1.8031814859441366,0.527815538279912,1.1956184229691575,0.44274817718007137,1.4108390068129177,1.410839006812918,-1.0887628949737527,-0.7051146821843178,-1.231712429093967,-0.6319253372386678,0.24835186051547728,-0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387,17,1,17,0,0
-1.406829738983288,-0.49286395303596847,0.9235328951533729,0.014623080243234032,0.5287984589574571,78.69010162353516,-0.6903875406922908,0.13848235459474834,-0.5435643391377607,-0.07586721423371921,-0.6611017116490232,-0.11044654286591599,-0.10712931832944929,-0.054858321533666786,0.12962097555792187,0.8440323456286516,0.02785213972159447,0.9959428663138945,1.6874362689473923,-1.0887628949737527,-0.7758913463321496,-1.2317122979943655,-0.6319253372386678,-0.08373302848629341,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,18,1,17,0,0
-1.4763434946227605,-0.5195480705810689,0.8466242471364143,-0.003177199767023933,0.34809514767607486,77.90525817871094,-0.5209972091807792,0.2625744815080998,-0.3780222680187109,-0.5741014845049068,-0.6611017116490232,0.027852139721594466,-0.10712931832944929,1.8031814859441366,-0.019701988707740904,0.546536441937901,-0.11044654286591601,0.44274817718007126,1.5491375554477178,-1.0887628949737527,-0.6433843126766094,-0.703835623200992,-0.6319253372386678,-0.21009621515363622,-0.9659258262890684,0.2588190451025203,0.4999999999999999,0.8660254037844387,19,1,17,0,0
-1.5268990080576335,-0.5625899525998335,0.7857722906946019,0.05495388638258385,-0.01147193077706194,75.96372985839844,-0.408070520942336,0.4934040841031496,-0.2845190807173705,-0.4692100591846568,-0.6611017116490232,-0.11044654286591599,-0.10712931832944929,-0.054858321533666786,-0.06947631136578715,0.24904051205194547,0.02785213972159447,0.027852139721594466,1.410839006812918,-1.0887628949737527,-0.43400957403166807,-9.083922151773559e-20,-0.6319253372386678,-0.25221727842217173,-0.8660254037844386,0.5000000000000001,0.4999999999999999,0.8660254037844387,20,1,17,0,0
-1.545857250262233,-0.5354454926557912,0.5996906321661932,0.17454906287014696,-0.41214827377152435,78.69010162353516,-0.35160717682311443,0.6374890190749076,-0.3860903824824596,-0.23320435221409425,-0.6611017116490232,0.027852139721594466,0.03214659976091234,-0.054858321533666786,-0.019701988707740904,0.05972493551054712,-0.11044654286591601,-0.11044654286591599,0.9959428663138947,-1.0887628949737527,-0.15203899786417174,-9.083922151773559e-20,-0.6319253372386678,-0.21312650750792397,-0.7071067811865477,0.7071067811865474,0.4999999999999999,0.8660254037844387,21,1,17,0,0
-1.577454400958942,-0.6114206402852916,0.5147137859459338,0.24340689175692573,-0.7173753512158697,69.4438705444336,-0.5774607028769242,0.6435138627702408,-0.4472587589361873,0.08146992374665583,-0.6611017116490232,0.30444950489661543,0.31069843594163565,-0.054858321533666786,0.0798466566083516,0.032679853723208994,0.02785213972159447,0.027852139721594466,0.44274817718007137,-1.0887628949737527,-0.04243541840617327,-9.083922151773559e-20,-0.6319253372386678,-0.13822531012633715,-0.5000000000000004,0.8660254037844384,0.4999999999999999,0.8660254037844387,22,1,17,0,0
-2.0008562082414847,-0.5984863416980112,0.9275790649386331,-0.08915124230228719,-0.7173753512158697,69.4438705444336,-0.18221699488852625,0.5619555856722093,-0.38541919219610166,-0.20698149588403175,-0.6611017116490232,-0.11044654286591599,-0.10712931832944929,-0.054858321533666786,0.0798466566083516,0.005634769920855069,0.3044495048966155,-0.11044654286591599,0.02785213972159447,-1.0887628949737527,0.24912838104033647,0.5278767272332141,-0.6319253372386678,-0.14018695057301966,-0.2588190451025215,0.965925826289068,0.4999999999999999,0.8660254037844387,23,1,17,0,0
-2.0640505096349027,-0.736073160416235,1.0342287277811808,-0.19144099529658537,-0.4765843801776359,66.03750610351562,-0.2951435335500459,0.5304529779994102,-0.47084732684615127,-0.39054149019446927,-0.6611017116490232,-0.24874522545342645,-0.24640523641981094,-0.054858321533666786,-0.019701988707740904,-0.021410313881498735,-0.11044654286591601,0.027852139721594466,-0.11044654286591601,-1.0887628949737527,-0.0649567543824845,-0.17595890907773803,-0.6319253372386678,-0.22033397369396085,0.0,1.0,0.4999999999999999,0.8660254037844387,0,1,18,0,0
