datetime,temperature_2m,dewpoint_2m,relative_humidity,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,wind_u_10m,wind_v_10m,cloud_cover,cape,precipitation_openmeteo,rain_openmeteo,snowfall,rolling_precip_3h,rolling_precip_6h,rolling_precip_24h,rolling_precip_72h,precip_lag_1h,precip_lag_3h,precip_lag_6h,temp_dewpoint_spread,wind_gust_ratio,precip_acceleration,humidity_cape_interact,rolling_ratio_3_24,hour_sin,hour_cos,month_sin,month_cos,hour,month,day_of_year,season,is_monsoon,imd_rainfall_mm,rain_intensity_class,cloudburst_flag,landslide_risk
2022-01-01 00:00:00+00:00,4.688263,4.5121765,70.6189193725586,949.71063,1.1594518,74.106285,16.919998168945312,-1.1151276,-0.31752014,0.93408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17608650000000026,13.434415012107102,0.0,0.0,0.0,0.9659258262890684,0.2588190451025207,0.4999999999999999,0.8660254037844387,5,1,1,0,0,0.0,0,0,0
2022-01-01 01:00:00+00:00,4.674469,4.490967,68.3128662109375,949.8425,1.1864016,70.00215,15.119998931884766,-1.1148682,-0.4057312,0.9189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18350199999999983,11.753715893920504,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.4999999999999999,0.8660254037844387,6,1,1,0,0,0.0,0,0,0
2022-01-01 02:00:00+00:00,4.843292,4.639862,62.54052734375,950.3773,1.2917256,70.97624,15.119998931884766,-1.2211761,-0.42105103,0.9173279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20343,10.864209821163572,0.0,0.0,0.0,0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387,7,1,1,0,0,0.0,0,0,0
2022-01-01 03:00:00+00:00,5.4173584,4.968109,64.51972198486328,950.7018,1.4103962,74.4513,17.280000686645508,-1.3587799,-0.37806702,0.77697754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44924940000000024,11.4407072042723,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.4999999999999999,0.8660254037844387,8,1,1,0,0,0.0,0,0,0
2022-01-01 04:00:00+00:00,7.948944,5.050171,54.896270751953125,950.85297,1.0100508,83.23636,16.19999885559082,-1.0030212,-0.11895752,0.04949951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8987730000000003,14.59392566141191,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,0.4999999999999999,0.8660254037844387,9,1,1,0,0,0.0,0,0,0
2022-01-01 05:00:00+00:00,14.503815,7.023102,39.681278228759766,951.15704,0.35765728,184.11505,12.239999771118164,0.025665283,0.35673523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.480713,20.0,0.0,0.0,0.0,0.4999999999999999,-0.8660254037844387,0.4999999999999999,0.8660254037844387,10,1,1,0,0,0.0,0,0,0
2022-01-01 06:00:00+00:00,15.782867,7.5105286,32.90553283691406,950.9484,0.95575404,233.30573,11.879999160766602,0.7663574,0.57110596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.272338399999999,11.252620128042892,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,0.4999999999999999,0.8660254037844387,11,1,1,0,0,0.0,0,0,0
2022-01-01 07:00:00+00:00,16.492096,7.9176636,33.03645324707031,950.21173,1.1749123,227.33104,12.239999771118164,0.8638916,0.7963104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5744324,9.60066019530768,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.4999999999999999,0.8660254037844387,12,1,1,0,0,0.0,0,0,0
2022-01-01 08:00:00+00:00,18.920319,8.15918,35.27128982543945,948.933,1.6756617,231.2209,11.879999160766602,1.3062897,1.0494995,0.16009521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.761139,6.690463144396594,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890684,0.4999999999999999,0.8660254037844387,13,1,1,0,0,0.0,0,0,0
2022-01-01 09:00:00+00:00,19.223541,8.441193,39.41463088989258,948.8222,1.9656518,245.19177,11.519999504089355,1.784256,0.8247528,0.48687744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.782348,5.576931941815825,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0.4999999999999999,0.8660254037844387,14,1,1,0,0,0.0,0,0,0
2022-01-01 10:00:00+00:00,17.615387,8.505798,68.50827026367188,948.35767,1.794251,253.84366,11.159998893737791,1.7233887,0.49926758,0.56100464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.109588999999998,5.891510097520229,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,0.4999999999999999,0.8660254037844387,15,1,1,0,0,0.0,0,0,0
2022-01-01 11:00:00+00:00,17.049225,8.6970215,49.32000350952149,948.13446,1.14321,258.8057,9.0,1.12146,0.22193909,0.49673462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3522035,7.2393240080115175,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.4999999999999999,0.8660254037844387,16,1,1,0,0,0.0,0,0,0
2022-01-01 12:00:00+00:00,17.537994,8.422272,53.37262344360352,948.3778,1.9734432,248.4115,8.279999732971191,1.8350067,0.72610474,0.5017395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.115722000000002,3.9933573936200384,0.0,0.0,0.0,-0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387,17,1,1,0,0,0.0,0,0,0
2022-01-01 13:00:00+00:00,17.124176,8.633209,58.87140655517578,948.58984,1.563699,266.87308,7.199999809265137,1.5613708,0.08529663,0.7391968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.490966999999998,4.327705798503898,0.0,0.0,0.0,-1.0,-1.8369701987210294e-16,0.4999999999999999,0.8660254037844387,18,1,1,0,0,0.0,0,0,0
2022-01-01 14:00:00+00:00,14.366364,8.613251,63.14528274536133,949.2937,1.3170708,333.82355,9.0,0.5810089,-1.1819916,0.8173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.753113000000001,6.351129386054669,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,0.4999999999999999,0.8660254037844387,19,1,1,0,0,0.0,0,0,0
2022-01-01 15:00:00+00:00,12.407135,9.013123,67.36380004882812,949.77,0.813289,30.943108,8.640000343322754,-0.41818237,-0.6975403,0.66363525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.394012,9.46031359550236,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,0.4999999999999999,0.8660254037844387,20,1,1,0,0,0.0,0,0,0
2022-01-01 16:00:00+00:00,11.260651,8.949982,78.92658233642578,949.83875,0.77069694,73.46232,11.879999160766602,-0.7388153,-0.21937561,0.90600586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310668999999999,13.64424131405194,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,0.4999999999999999,0.8660254037844387,21,1,1,0,0,0.0,0,0,0
2022-01-01 17:00:00+00:00,10.464264,8.880798,81.52762603759766,949.738,0.9390456,90.17596,13.679999351501465,-0.93904114,0.0028839111,0.92349243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5834659999999996,13.165927800956439,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,0.4999999999999999,0.8660254037844387,22,1,1,0,0,0.0,0,0,0
2022-01-01 18:00:00+00:00,10.268951,8.834625,77.0284194946289,949.8806,0.8769174,81.39671,13.31999969482422,-0.8670502,-0.13117981,0.88061523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4343259999999987,13.634724588613349,0.0,0.0,0.0,-0.2588190451025215,0.965925826289068,0.4999999999999999,0.8660254037844387,23,1,1,0,0,0.0,0,0,0
2022-01-01 19:00:00+00:00,9.556793,8.384003,72.81070709228516,949.5305,0.91701764,73.333534,11.879999160766602,-0.87849426,-0.2630005,0.91238403,0.0,0.2000000029802322,0.2000000029802322,0.0,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.0,0.0,0.0,1.1727900000000009,11.681212491817352,0.0,0.0,0.6666666699780357,0.0,1.0,0.4999999999999999,0.8660254037844387,0,1,2,0,0,0.0,0,0,0
2022-01-01 20:00:00+00:00,8.244537,7.5430603,73.8721923828125,949.34656,0.8401338,74.560326,14.039999961853027,-0.80981445,-0.22366333,0.8664856,0.0,0.0,0.0,0.0,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.0,0.0,0.7014766999999997,14.934044453941585,0.2000000029802322,0.0,0.6666666699780357,0.2588190451025207,0.9659258262890684,0.4999999999999999,0.8660254037844387,1,1,2,0,0,0.0,0,0,0
2022-01-01 21:00:00+00:00,7.228424,6.6841125,76.28883361816406,949.03815,0.57740545,73.29045,15.480000495910645,-0.5530243,-0.16601562,0.88012695,0.0,0.1000000014901161,0.1000000014901161,0.0,0.3000000044703483,0.3000000044703483,0.3000000044703483,0.3000000044703483,0.0,0.0,0.0,0.5443115000000001,20.0,0.0,0.0,0.7500000027939676,0.4999999999999999,0.8660254037844387,0.4999999999999999,0.8660254037844387,2,1,2,0,0,0.0,0,0,0
2022-01-01 22:00:00+00:00,5.4188538,5.323517,78.44151306152344,948.71967,0.6277301,72.509796,16.19999885559082,-0.5987091,-0.18865967,0.81051636,0.0,0.0,0.0,0.0,0.1000000014901161,0.3000000044703483,0.3000000044703483,0.3000000044703483,0.1000000014901161,0.2000000029802322,0.0,0.09533680000000011,20.0,-0.1000000014901161,0.0,0.2500000009313225,0.7071067811865476,0.7071067811865476,0.4999999999999999,0.8660254037844387,3,1,2,0,0,0.0,0,0,0
2022-01-01 23:00:00+00:00,5.7779846,5.6688538,77.03656768798828,948.75037,0.77040386,65.932655,15.119998931884766,-0.7034302,-0.31417847,0.9587097,0.0,0.0,0.0,0.0,0.1000000014901161,0.3000000044703483,0.3000000044703483,0.3000000044703483,0.0,0.0,0.0,0.10913079999999997,17.3712452652551,0.0,0.0,0.2500000009313225,0.8660254037844386,0.5000000000000001,0.4999999999999999,0.8660254037844387,4,1,2,0,0,0.0,0,0,0
