datetime,temperature_2m,dewpoint_2m,relative_humidity,surface_pressure,wind_speed_10m,wind_gusts_10m,cloud_cover,cape,precipitation_openmeteo,rain_openmeteo
2005-01-28 00:00:00+00:00,5.433500289916992,8.435577,87.86931610107422,926.5366821289062,5.039999961853027,44.27999877929688,100.0,0.0,2.299999952316284,1.2999999523162842
2005-02-07 16:00:00+00:00,8.883500099182129,14.408966,90.00865173339844,929.3140869140624,5.052840709686279,43.19999694824219,100.0,276.75,1.399999976158142,1.0
2005-02-09 11:00:00+00:00,10.933500289916992,14.167328,83.99183654785156,934.306396484375,4.896529197692871,33.839996337890625,98.0,29.25,1.7000000476837158,1.7000000476837158
2005-02-15 12:00:00+00:00,10.933500289916992,14.505768,86.58882904052734,917.234375,5.815978050231934,37.43999862670898,99.0,183.5,1.600000023841858,1.5
2005-02-15 13:00:00+00:00,10.333499908447266,14.810516,89.51026153564453,918.3367309570312,5.351784706115723,45.0,99.0,26.0,2.0,1.7000000476837158
2005-02-15 14:00:00+00:00,9.983500480651855,14.793243,89.7864761352539,919.0554809570312,5.506940841674805,44.63999557495117,97.0,6.5,1.7000000476837158,1.5
2005-02-19 16:00:00+00:00,8.083499908447266,8.588715,98.64960479736328,927.8880615234376,4.379589080810547,34.560001373291016,94.0,0.0,2.0999999046325684,2.0999999046325684
2005-03-18 12:00:00+00:00,16.133501052856445,15.6586,86.52452850341797,928.6917724609376,5.399999618530273,33.47999954223633,100.0,203.5,2.5,2.5
2005-03-18 13:00:00+00:00,15.433500289916992,16.114655,86.17467498779297,928.6746215820312,6.489992141723633,28.799999237060547,100.0,329.875,2.5999999046325684,2.5999999046325684
2005-04-07 05:00:00+00:00,21.03350067138672,9.687897,59.65629577636719,923.3799438476562,10.739832878112791,57.59999847412109,60.0,12.25,1.100000023841858,1.100000023841858
2005-04-07 10:00:00+00:00,20.23349952697754,9.775055,70.89765167236328,922.4277954101562,9.504273414611816,50.03999710083008,62.0,0.0,1.899999976158142,1.899999976158142
2005-04-08 06:00:00+00:00,25.433500289916992,-0.23257446,27.303510665893555,925.5767211914062,11.440978050231934,46.43999862670898,33.0,0.0,0.699999988079071,0.699999988079071
2005-04-27 07:00:00+00:00,24.48349952697754,15.191315,38.37215805053711,926.3309936523438,10.18869972229004,39.23999786376953,100.0,146.0,1.100000023841858,1.100000023841858
2005-05-04 08:00:00+00:00,24.78350067138672,17.713531,59.57829666137695,925.5864868164062,7.421589851379394,29.8799991607666,68.0,621.5,2.900000095367432,2.900000095367432
2005-06-11 08:00:00+00:00,34.083499908447266,16.617828,17.238252639770508,923.3164672851562,9.178235054016112,40.31999969482422,83.0,1062.5,0.0,0.0
2005-06-25 07:00:00+00:00,32.433502197265625,25.382477,55.33182907104492,919.9596557617188,8.20926284790039,32.39999771118164,38.0,1807.5,0.4000000059604645,0.4000000059604645
2005-06-30 06:00:00+00:00,26.63349914550781,25.115143,80.41717529296875,919.7493896484376,6.379216194152832,25.19999885559082,86.0,2049.375,3.900000095367432,3.900000095367432
2005-06-30 07:00:00+00:00,26.48349952697754,25.08902,82.61627197265625,919.618408203125,5.58870267868042,26.63999938964844,94.0,1863.375,3.5999999046325684,3.5999999046325684
2005-07-04 08:00:00+00:00,26.63349914550781,24.518219,80.660888671875,917.9148559570312,5.692099571228027,26.280000686645508,70.0,1999.5,3.400000095367432,3.400000095367432
2005-07-04 09:00:00+00:00,25.13349914550781,24.64566,82.96062469482422,918.2532348632812,2.545584201812744,26.63999938964844,84.0,2367.75,4.199999809265137,4.199999809265137
2005-07-04 22:00:00+00:00,22.13349914550781,24.447662,91.78345489501952,916.99267578125,2.099142551422119,10.440000534057615,100.0,472.75,3.900000095367432,3.900000095367432
2005-07-04 23:00:00+00:00,22.13349914550781,24.495514,90.9392547607422,916.8094482421876,2.545584201812744,12.239999771118164,100.0,511.25,5.199999809265137,5.199999809265137
2005-07-05 00:00:00+00:00,22.083499908447266,23.922272,92.06350708007812,917.1624755859376,3.826852560043335,14.039999961853027,100.0,390.0,6.400000095367432,6.400000095367432
2005-07-05 01:00:00+00:00,22.38349914550781,23.891022,90.67619323730467,917.5182495117188,4.582051753997803,16.19999885559082,100.0,419.125,7.400000095367432,7.400000095367432
2005-07-05 02:00:00+00:00,22.833499908447266,23.41153,88.50473022460938,917.7308349609376,4.072935104370117,15.84000015258789,100.0,515.375,7.5,7.5
2005-07-05 03:00:00+00:00,23.13349914550781,23.299469,86.11331939697266,918.0864868164062,2.4149534702301025,18.0,100.0,494.5,7.0,7.0
2005-07-05 04:00:00+00:00,23.13349914550781,23.482086,85.32098388671875,918.9111938476562,2.741678237915039,20.51999855041504,100.0,332.875,5.900000095367432,5.900000095367432
2005-07-05 05:00:00+00:00,23.13349914550781,23.440826,85.58435821533203,919.4609985351562,3.5999999046325684,19.440000534057617,100.0,409.0,4.5,4.5
2005-07-05 06:00:00+00:00,22.28350067138672,24.227692,89.55860137939453,919.1400146484376,4.553679466247559,22.68000030517578,100.0,572.625,6.800000190734863,6.800000190734863
2005-07-05 07:00:00+00:00,21.933500289916992,24.357819,85.19747161865234,918.7706909179688,3.239999771118164,27.71999931335449,100.0,854.875,6.099999904632568,6.099999904632568
2005-07-05 08:00:00+00:00,21.53350067138672,24.76944,87.03418731689453,918.3873901367188,3.2599384784698486,27.35999870300293,100.0,1034.625,5.0,5.0
2005-07-05 09:00:00+00:00,21.28350067138672,24.828766,87.01122283935547,917.861572265625,4.6938252449035645,24.11999893188477,100.0,1224.25,5.599999904632568,5.599999904632568
2005-07-05 10:00:00+00:00,20.88349914550781,25.04898,88.8970947265625,918.027587890625,4.582051753997803,26.63999938964844,100.0,1088.5,5.0,5.0
2005-07-05 11:00:00+00:00,21.03350067138672,23.66153,88.63233184814453,917.7020874023438,4.33497428894043,28.07999992370605,100.0,419.625,4.5,4.5
2005-07-05 12:00:00+00:00,20.933500289916992,23.856354,89.45703125,917.125244140625,4.6102495193481445,28.440000534057617,100.0,91.625,4.199999809265137,4.199999809265137
2005-07-05 13:00:00+00:00,21.03350067138672,23.11441,88.3564453125,917.5189819335938,5.86037540435791,26.280000686645508,100.0,27.25,3.5999999046325684,3.5999999046325684
2005-07-05 14:00:00+00:00,20.98349952697754,23.405182,88.90504455566406,918.3294067382812,5.86037540435791,27.35999870300293,99.0,49.75,3.400000095367432,3.400000095367432
