imd_rainfall_mm,imd_rainfall_mm_log1p,rain_intensity_class,cloudburst_flag,landslide_risk
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
11.254800796508787,2.50591776197312,1,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
0.4416075348854065,0.36575883461008507,0,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
4.93140172958374,1.7802605644328844,1,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
